Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.19,-.12,-.20,-.12,-.24,-.22,-.10,-.17,-.25,-.21,-.24,-.20,***,***,-.15,-.19,-.21
1881,-.16,-.18,.03,.03,.01,-.21,-.07,-.03,-.14,-.22,-.23,-.12,-.11,-.12,-.19,.02,-.10,-.20
1882,.14,.14,.03,-.19,-.17,-.27,-.21,-.06,-.11,-.26,-.17,-.25,-.12,-.10,.05,-.11,-.18,-.18
1883,-.32,-.40,-.14,-.18,-.21,-.13,-.09,-.16,-.21,-.15,-.23,-.17,-.20,-.21,-.32,-.17,-.13,-.20
1884,-.16,-.09,-.38,-.43,-.37,-.41,-.35,-.27,-.28,-.25,-.31,-.29,-.30,-.29,-.14,-.39,-.35,-.28
1885,-.59,-.30,-.26,-.43,-.43,-.45,-.36,-.32,-.24,-.20,-.21,-.06,-.32,-.34,-.40,-.37,-.38,-.22
1886,-.43,-.46,-.39,-.28,-.27,-.40,-.22,-.34,-.26,-.29,-.32,-.27,-.33,-.31,-.31,-.31,-.32,-.29
1887,-.73,-.53,-.34,-.39,-.33,-.24,-.24,-.33,-.23,-.33,-.24,-.34,-.36,-.35,-.51,-.35,-.27,-.27
1888,-.38,-.37,-.42,-.23,-.23,-.19,-.11,-.17,-.11,.01,.00,-.07,-.19,-.21,-.36,-.29,-.16,-.03
1889,-.12,.17,.07,.06,-.03,-.15,-.11,-.21,-.23,-.24,-.34,-.31,-.12,-.10,-.01,.03,-.16,-.27
1890,-.45,-.46,-.41,-.38,-.47,-.28,-.28,-.39,-.40,-.26,-.49,-.33,-.38,-.38,-.41,-.42,-.32,-.38
1891,-.43,-.50,-.20,-.29,-.20,-.22,-.22,-.17,-.16,-.23,-.37,-.06,-.25,-.28,-.42,-.23,-.20,-.25
1892,-.30,-.13,-.37,-.36,-.26,-.25,-.34,-.26,-.14,-.14,-.43,-.40,-.28,-.25,-.16,-.33,-.28,-.24
1893,-.81,-.56,-.24,-.31,-.37,-.29,-.18,-.28,-.22,-.18,-.18,-.36,-.33,-.34,-.59,-.31,-.25,-.19
1894,-.55,-.35,-.26,-.49,-.36,-.45,-.27,-.23,-.26,-.22,-.26,-.21,-.33,-.34,-.42,-.37,-.32,-.25
1895,-.45,-.44,-.29,-.26,-.28,-.25,-.19,-.17,-.10,-.09,-.16,-.17,-.24,-.24,-.37,-.28,-.20,-.12
1896,-.27,-.16,-.27,-.31,-.19,-.15,-.05,-.05,-.05,.10,-.09,-.05,-.13,-.14,-.20,-.26,-.09,-.01
1897,-.16,-.16,-.15,-.04,-.06,-.17,-.08,-.12,-.09,-.14,-.20,-.20,-.13,-.12,-.12,-.08,-.13,-.15
1898,-.04,-.30,-.52,-.34,-.33,-.22,-.25,-.27,-.23,-.35,-.40,-.26,-.29,-.29,-.18,-.40,-.25,-.33
1899,-.20,-.42,-.35,-.22,-.25,-.34,-.19,-.08,-.04,-.06,.10,-.30,-.20,-.19,-.29,-.27,-.21,.00
1900,-.38,-.04,.00,-.13,-.11,-.14,-.14,-.12,-.06,.07,-.11,-.08,-.10,-.12,-.24,-.08,-.13,-.03
1901,-.24,-.05,.08,-.05,-.17,-.14,-.17,-.22,-.23,-.31,-.17,-.28,-.16,-.15,-.12,-.05,-.17,-.24
1902,-.19,-.03,-.29,-.30,-.35,-.35,-.30,-.33,-.29,-.31,-.39,-.46,-.30,-.28,-.17,-.31,-.33,-.33
1903,-.25,-.04,-.24,-.42,-.44,-.47,-.38,-.49,-.50,-.50,-.45,-.52,-.39,-.38,-.25,-.36,-.44,-.48
1904,-.68,-.58,-.50,-.55,-.57,-.52,-.55,-.51,-.54,-.41,-.22,-.36,-.50,-.51,-.59,-.54,-.53,-.39
1905,-.40,-.60,-.24,-.37,-.34,-.32,-.31,-.23,-.20,-.27,-.11,-.19,-.30,-.31,-.45,-.32,-.29,-.19
1906,-.29,-.32,-.18,-.05,-.26,-.22,-.27,-.21,-.28,-.21,-.40,-.17,-.24,-.24,-.27,-.16,-.23,-.29
1907,-.42,-.53,-.27,-.39,-.48,-.45,-.38,-.36,-.34,-.26,-.50,-.49,-.41,-.38,-.37,-.38,-.40,-.37
1908,-.44,-.32,-.55,-.46,-.42,-.43,-.41,-.48,-.37,-.47,-.51,-.51,-.45,-.45,-.42,-.48,-.44,-.45
1909,-.70,-.48,-.52,-.61,-.57,-.54,-.46,-.32,-.37,-.38,-.32,-.56,-.49,-.48,-.56,-.57,-.44,-.36
1910,-.45,-.45,-.52,-.42,-.36,-.39,-.36,-.37,-.37,-.39,-.54,-.67,-.44,-.43,-.49,-.43,-.37,-.44
1911,-.64,-.58,-.60,-.54,-.52,-.48,-.41,-.42,-.38,-.23,-.18,-.23,-.43,-.47,-.63,-.55,-.44,-.26
1912,-.27,-.13,-.36,-.20,-.23,-.27,-.45,-.56,-.52,-.58,-.39,-.45,-.37,-.35,-.21,-.26,-.43,-.50
1913,-.42,-.44,-.44,-.40,-.48,-.49,-.37,-.35,-.37,-.35,-.20,-.05,-.36,-.40,-.44,-.44,-.41,-.31
1914,.03,-.12,-.23,-.30,-.24,-.28,-.25,-.15,-.14,-.05,-.19,-.09,-.17,-.16,-.04,-.26,-.23,-.13
1915,-.18,-.01,-.11,.05,-.07,-.22,-.11,-.21,-.18,-.26,-.13,-.17,-.13,-.13,-.09,-.04,-.18,-.19
1916,-.09,-.13,-.29,-.31,-.33,-.47,-.37,-.26,-.32,-.28,-.40,-.81,-.34,-.29,-.13,-.31,-.37,-.33
1917,-.59,-.62,-.61,-.51,-.56,-.44,-.26,-.22,-.18,-.41,-.29,-.68,-.45,-.46,-.67,-.56,-.31,-.29
1918,-.43,-.32,-.25,-.45,-.46,-.36,-.32,-.31,-.16,-.06,-.11,-.28,-.29,-.33,-.48,-.39,-.33,-.11
1919,-.21,-.24,-.21,-.13,-.29,-.38,-.30,-.33,-.23,-.20,-.42,-.42,-.28,-.27,-.24,-.21,-.34,-.28
1920,-.23,-.23,-.09,-.26,-.27,-.37,-.32,-.25,-.20,-.27,-.27,-.45,-.27,-.27,-.30,-.21,-.31,-.25
1921,-.03,-.20,-.23,-.30,-.29,-.28,-.15,-.24,-.18,-.04,-.13,-.17,-.19,-.21,-.22,-.28,-.23,-.12
1922,-.34,-.44,-.13,-.24,-.34,-.33,-.25,-.31,-.32,-.33,-.14,-.19,-.28,-.28,-.32,-.24,-.30,-.26
1923,-.29,-.37,-.34,-.40,-.35,-.26,-.30,-.30,-.28,-.12,.00,-.03,-.25,-.27,-.28,-.36,-.29,-.13
1924,-.23,-.24,-.08,-.32,-.19,-.24,-.27,-.34,-.31,-.34,-.20,-.42,-.26,-.23,-.17,-.20,-.28,-.28
1925,-.38,-.39,-.25,-.26,-.31,-.34,-.29,-.16,-.17,-.19,.03,.08,-.22,-.26,-.40,-.27,-.26,-.11
1926,.19,.05,.10,-.13,-.23,-.23,-.25,-.14,-.13,-.11,-.06,-.29,-.10,-.07,.10,-.08,-.21,-.10
1927,-.28,-.19,-.37,-.31,-.26,-.27,-.17,-.21,-.11,-.02,-.04,-.34,-.21,-.21,-.25,-.31,-.22,-.06
1928,-.01,-.09,-.28,-.28,-.31,-.38,-.19,-.22,-.19,-.18,-.10,-.18,-.20,-.21,-.15,-.29,-.27,-.16
1929,-.47,-.60,-.32,-.40,-.39,-.41,-.34,-.30,-.23,-.14,-.13,-.55,-.36,-.33,-.42,-.37,-.35,-.16
1930,-.30,-.28,-.09,-.25,-.24,-.21,-.20,-.13,-.12,-.10,.15,-.07,-.15,-.19,-.38,-.19,-.18,-.03
1931,-.10,-.25,-.08,-.22,-.20,-.08,-.03,-.03,-.07,.01,-.12,-.10,-.11,-.10,-.14,-.17,-.05,-.06
1932,.14,-.19,-.20,-.07,-.19,-.30,-.24,-.23,-.11,-.11,-.27,-.26,-.17,-.15,-.05,-.15,-.26,-.16
1933,-.34,-.34,-.30,-.26,-.30,-.34,-.22,-.25,-.27,-.21,-.30,-.46,-.30,-.28,-.31,-.29,-.27,-.26
1934,-.25,-.04,-.33,-.30,-.11,-.16,-.10,-.11,-.16,-.09,.03,-.04,-.14,-.17,-.25,-.25,-.12,-.07
1935,-.34,.14,-.13,-.36,-.31,-.27,-.23,-.23,-.21,-.09,-.28,-.20,-.21,-.20,-.08,-.27,-.24,-.19
